"RELAÇÃO DAS ESCOLAS ESTADUAIS (ESTABELECIMENTOS DE ENSINO), ENDEREÇO E E-MAIL",,,,,,,,3569
Municipio,UREGI,SRE,ESTABELECIMENTO DE ENSINO,E-MAIL (INSTITUCIONAL),SITUAÇÃO MAPA (X -> ENVIADO & VAZIO -> NÃO ENVIADO),DATA DE ACUSAÇÃO DE RECEBIMENTO,DATA DE ENVIO DO MAPA PARA AS ESCOLAS,2662
ABADIA DOS DOURADOS,PATOS DE MINAS,SRE MONTE CARMELO,EE PEDRO ÁLVARES CABRAL,escola.200271@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
ABAETÉ,CURVELO,SRE PARÁ DE MINAS,EE DOUTOR EDGARDO DA CUNHA PEREIRA,escola.31836@educacao.mg.gov.br,,23/05/2022,23/05/2022,
ABAETÉ,CURVELO,SRE PARÁ DE MINAS,EE FREDERICO ZACARIAS,escola.31852@educacao.mg.gov.br,,23/05/2022,23/05/2022,
ABAETÉ,CURVELO,SRE PARÁ DE MINAS,EE BARÃO DO INDAIÁ,escola.31771@educacao.mg.gov.br,,23/05/2022,23/05/2022,
ABRE CAMPO,PONTE NOVA,SRE PONTE NOVA,EE ABRE CAMPO,escola.258971@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
ABRE CAMPO,PONTE NOVA,SRE PONTE NOVA,EE DOM JOÃO BOSCO,escola.128104@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
ABRE CAMPO,PONTE NOVA,SRE PONTE NOVA,EE DOUTOR JOSÉ GROSSI,escola.128121@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
ABRE CAMPO,PONTE NOVA,SRE PONTE NOVA,EE PROFESSOR ERNESTO DE MELO BRANDÃO,escola.128139@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
ACAIACA,PONTE NOVA,SRE OURO PRETO,EE PADRE SIMIM,escola.106003@educacao.mg.gov.br,X,25/05/2022,25/05/2022,
ACAIACA,PONTE NOVA,SRE OURO PRETO,EE PROFESSOR MARTINS,escola.330663@educacao.mg.gov.br,X,25/05/2022,25/05/2022,
AÇUCENA,GUANHÃES,SRE GOVERNADOR VALADARES,EE ANTÔNIO ALTICIANO,escola.41556@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
AÇUCENA,GUANHÃES,SRE GOVERNADOR VALADARES,EE CRISTIANO MACHADO,escola.41611@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
AÇUCENA,GUANHÃES,SRE GOVERNADOR VALADARES,EE DOM SERAFIM GOMES JARDIM,escola.41637@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
AÇUCENA,GUANHÃES,SRE GOVERNADOR VALADARES,EE ODETE VALADARES,escola.41581@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
AÇUCENA,GUANHÃES,SRE GOVERNADOR VALADARES,EE TEREZINHA BARBOSA DOS SANTOS,escola.41653@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
ÁGUA BOA,CAPELINHA,SRE GUANHÃES,EE ADÃO MARQUES DAS ALELUIAS,escola.41700@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
ÁGUA BOA,CAPELINHA,SRE GUANHÃES,EE DE RESPLENDOR,escola.41726@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
ÁGUA BOA,CAPELINHA,SRE GUANHÃES,EE DOUTOR ALFREDO SÁ,escola.41734@educacao.mg.gov.br,X,26/05/2022,24/05/2022,
ÁGUA BOA,CAPELINHA,SRE GUANHÃES,EE JOSÉ BONIFÁCIO SANTANA,escola.254045@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
ÁGUA BOA,CAPELINHA,SRE GUANHÃES,EE LAUREANO TEIXEIRA DE SOUZA,escola.41718@educacao.mg.gov.br,X,25/05/2022,24/05/2022,
ÁGUA BOA,CAPELINHA,SRE GUANHÃES,EE MODESTO ALVES BARROSO,escola.41751@educacao.mg.gov.br,X,26/05/2022,24/05/2022,
ÁGUA BOA,CAPELINHA,SRE GUANHÃES,EE PROFESSOR JOAQUIM PIMENTA DE ARAÚJO,escola.41742@educacao.mg.gov.br,X,26/05/2022,24/05/2022,
ÁGUA COMPRIDA,UBERABA,SRE UBERABA,EE JOSÉ ACÁCIO DA SILVA,escola.311863@educacao.mg.gov.br,x,02/06/2022,,
AGUANIL,LAVRAS,SRE CAMPO BELO,EE PROFESSOR LEONIDES ALVARENGA,escola.202134@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
ÁGUAS FORMOSAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE CAPITÃO INÁCIO SOARES,escola.145912@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
ÁGUAS FORMOSAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE CARLOS MAGNO REBOUÇAS,escola.145904@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
ÁGUAS FORMOSAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE CESÁRIO MATIAS DE ALMEIDA,escola.145921@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
ÁGUAS FORMOSAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE DE ÁGUA QUENTE,escola.145947@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
