Título	Área de Avaliação	Estrato	ISSN
ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	0102-8650
ACTA SCIENTIARUM. AGRONOMY (IMPRESSO)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1679-9275
ACTA SCIENTIARUM. AGRONOMY (ONLINE)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1807-8621
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1678-4324
BRAZILIAN JOURNAL OF BIOLOGY (ONLINE)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	1678-4375
CIENCIA RURAL	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1678-4596
DESAFIOS: REVISTA INTERDISCIPLINAR DA UNIVERSIDADE FEDERAL DO TOCANTINS	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2359-3652
DESENVOLVIMENTO EM QUESTÃO	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2237-6453
ENSINO & PESQUISA	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	2359-4381, 1676-1030
EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE (PRINT)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	1741-427X
IEEE ACCESS	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	2169-3536
JOURNAL OF ENVIRONMENTAL ANALYSIS AND PROGRESS	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2525-815X
JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	2213-7165
JOURNAL OF PHYSICAL EDUCATION AND SPORT	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2247-806X, 2247-8051
LATIN AMERICAN JOURNAL OF SCIENCE EDUCATION	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2007-9842
PATHOGENS	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	2076-0817
PHARMACOLOGICAL REPORTS	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	1734-1140
QUÍMICA NOVA (IMPRESSO)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	0100-4042
QUÍMICA NOVA (ONLINE)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1678-7064
RECIIS-REVISTA ELETRÔNICA DE COM. INFORMAÇÃO & INOVAÇÃO EM SAÚDE	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	1981-6278
RESEARCH ON BIOMEDICAL ENGINEERING	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2446-4740
REVISTA AMBIENTE & ÁGUA	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1980-993X
REVISTA BRASILEIRA DE FARMACOGNOSIA	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	1981-528X, 0102-695X
REVISTA BRASILEIRA DE INICIAÇÃO CIENTÍFICA	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2359-232X
REVISTA CIÊNCIA E NATURA	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	2179-460X
REVISTA CIÊNCIA EM EXTENSÃO	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1679-4605
REVISTA DA UNIVERSIDADE VALE DO RIO VERDE	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1517-0276, 2236-5362
REVISTA DOCÊNCIA DO ENSINO SUPERIOR	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	2237-5864, 2358-6338
SCIENTIA PLENA	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	1808-2793
THE SCIENTIFIC WORLD JOURNAL	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A3	1537-744X
TOXICON (OXFORD)	CIÊNCIAS BIOLÓGICAS I, EDUCAÇÃO, ENGENHARIAS II	A4	0041-0101
